osm_type,osm_id,name,brand,operator,shop_type,street,house_number,postal_code,city,latitude,longitude,opening_hours,website,store_group
node,36726161,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Wiesentalstrasse,4,8730,Uznach,47.2281827,8.9653298,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-uznach,Migros
node,39768209,Coop,Coop,Coop Genossenschaft,supermarket,,,8730,Uznach,47.2251539,8.9698681,,,Coop
node,39947904,Coop,Coop,Coop Genossenschaft,supermarket,Bahnhofbrücke,1,8001,Zürich,47.3767316,8.5421608,Mo-Sa 06:00-22:00,,Coop
node,48932835,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Wengistrasse,7,8004,Zürich,47.37502,8.522895,Mo-Sa 08:00-21:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-zuerich-wengihof,Migros
node,70656488,Migros,Migros,Genossenschaft Migros Ostschweiz,supermarket,Zürcherstrasse,102,8406,Winterthur,47.4918744,8.7064484,Mo-Fr 07:30-20:00; PH off; Sa 08:00-19:00,https://filialen.migros.ch/de/migros-supermarkt-winterthur-toess,Migros
node,75749133,Aldi,ALDI,Aldi Suisse,supermarket,Albisstrasse,81,8038,Zürich,47.3409666,8.5306007,Mo-Sa 07:30-21:00; PH off,https://www.aldi-suisse.ch/,Aldi
node,79977755,Coop,Coop,Coop Genossenschaft,supermarket,Alte Kalchbühlstrasse,15,8038,Zürich,47.3400698,8.5305461,Mo-Sa 07:30-21:00; PH off,https://www.coop.ch/,Coop
node,83330862,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Etzelstrasse,3,8038,Zürich,47.3447487,8.5299814,Mo-Sa 07:30-21:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-zuerich-wollishofen,Migros
node,94635618,ALDI,ALDI,Aldi Suisse AG,supermarket,Schürmatt,5,6247,Schötz,47.1820486,7.9825542,,,Aldi
node,112148390,Coop,,,supermarket,,,,,47.4487722,8.2150751,,,Coop
node,119249170,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Löwenstrasse,31-35,8001,Zürich,47.3752549,8.5361073,Mo-Sa 09:00-20:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-zuerich-city,Migros
node,124140239,Aldi,Aldi,Aldi Suisse,supermarket,Häldelistrasse,11,8712,Stäfa,47.2414948,8.7183709,Mo-Sa 07:30-20:00; PH off,https://www.aldi-suisse.ch/,Aldi
node,124140551,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Goethestrasse,18,8712,Stäfa,47.2406357,8.7239602,Mo-Sa 08:00-20:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-staefa,Migros
node,124141245,Coop,Coop,Coop Genossenschaft,supermarket,Kronenstrasse,4-6,8712,Stäfa,47.241531,8.7245301,Mo-Sa 07:30-20:00,,Coop
node,128269749,Coop,,,supermarket,,,,,47.3816844,8.2389181,,,Coop
node,185627927,Migros,Migros,Genossenschaft Migros Aare,supermarket,Bachstrasse,15,5600,Lenzburg,47.3871106,8.1771397,Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-18:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-lenzburg,Migros
node,206357901,Migros,Migros,Genossenschaft Migros Luzern,supermarket,Kreuzbuchstrasse,53,6006,Luzern,47.0544427,8.3398988,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",https://filialen.migros.ch/de/migros-supermarkt-luzern-wuerzenbach,Migros
node,220030477,Aldi,Aldi,,supermarket,Hauptstrasse,132,5070,Frick,47.501665,8.0324095,,,Aldi
node,220686094,Coop,Coop,,supermarket,Bäreggstrasse,10,,,47.2207301,7.7813527,Mo-Th 07:30-19:00; Fr 07:30-21:00; Sa 07:30-17:00; Su off; PH off,,Coop
node,241298934,Coop,Coop,Coop Genossenschaft,supermarket,,,,,47.2124233,7.7906102,Mo-Th 08:00-20:00; Sa 07:30-17:00; Su off; PH off; Fr 08:00-21:00,https://www.coop.ch/de/standorte/coop-supermarkt-langenthal-tell/1997_POS,Coop
node,243155987,Migros,Migros,Genossenschaft Migros Basel,supermarket,Burggartenstrasse,21,4133,Pratteln,47.520631,7.6937067,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off",https://filialen.migros.ch/de/migros-supermarkt-pratteln,Migros
node,246533376,Migros,Migros,Genossenschaft Migros Ostschweiz,supermarket,Schaffhauserstrasse,152,8400,Winterthur,47.5189532,8.720071,"Mo-Fr 08:30-20:00, Sa 08:00-18:00; PH off",https://filialen.migros.ch/de/migros-supermarkt-winterthur-rosenberg,Migros
node,246652001,Coop,,Coop Genossenschaft,supermarket,Regensdorferstrasse,9,8049,Zürich,47.4025264,8.4987145,"Mo-Sa 08:00-20:00; Su,PH off",,Coop
node,246652002,Denner,Denner,,supermarket,Regensdorferstrasse,16,8049,Zürich,47.4033126,8.498119,Mo-Sa 08:00-19:00,https://www.denner.ch/,Denner
node,248453373,Migros Partner,,Genossenschaft Migros Zürich,supermarket,Uznacherstrasse,1,8722,Kaltbrunn,47.2131224,9.0244723,"Mo-Fr 07:30-12:00,14:00-18:30; Sa 07:30-16:00; PH off",https://filialen.migros.ch/de/migros-partner-kaltbrunn,Migros
node,248816158,Coop,Coop,,supermarket,,,,,47.5265972,7.5725989,Mo-Sa 07:30-20:00,,Coop
node,251331440,Coop,Coop,,supermarket,,,,,47.4645599,9.0454258,"Mo-Fr 08:00-19:00, Tu 08:00-20:00, Sa 08:00-17:00",,Coop
node,251364444,Migros,Migros,Genossenschaft Migros Ostschweiz,supermarket,Amriswilerstrasse,12,8570,Weinfelden,47.567643,9.1108744,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off",https://filialen.migros.ch/de/migros-supermarkt-weinfelden-roesslifelsen,Migros
node,251364445,Coop,Coop,,supermarket,,,,,47.5667319,9.0970483,"Mo-Sa 08:00-20:00; Su,PH closed",,Coop
node,253909831,Migros,Migros,Genossenschaft Migros Ostschweiz,supermarket,Stossstrasse,2,9450,Altstätten SG,47.377383,9.5378003,"Mo-Th 08:00-19:00; Fr 08:00-20:00; Sa 08:00-17:00; Su,PH off",https://filialen.migros.ch/de/migros-supermarkt-altstaetten-sg,Migros
node,259774108,Coop,Coop,Coop Genossenschaft,supermarket,,,,,47.2590912,8.5987196,Mo-Sa 07:30-20:00,,Coop
node,259794007,Coop,Coop,Coop Genossenschaft,supermarket,,,,,47.245172,8.6081092,,,Coop
node,262304091,Coop,Coop,,supermarket,,,,,46.5557428,7.3736505,Mo-Fr 08:00-19:00; Sa 08:00-17:00,,Coop
node,262400822,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Tessinerplatz,10,8002,Zürich,47.3640724,8.5309446,"Mo-Fr 06:30-22:00; Sa-Su,PH 08:00-22:00",https://filialen.migros.ch/de/migros-supermarkt-zuerich-bahnhof-enge,Migros
node,264065177,Migros,Migros,Genossenschaft Migros Zürich,supermarket,Bahnhofstrasse,30,8304,Wallisellen,47.4135249,8.5918701,Mo-Sa 07:00-20:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-wallisellen,Migros
node,264065241,Coop,,Coop Genossenschaft,supermarket,Bahnhofplatz,2,8304,Wallisellen,47.4129519,8.5927658,Mo-Sa 06:30-21:00,,Coop
node,264793445,Coop,Coop,Coop Genossenschaft,supermarket,Industriestrasse,28,8305,Dietlikon,47.4133066,8.6189038,"Mo-Fr 09:00-21:00, Sa 08:00-21:00; PH off",https://www.coop.ch/,Coop
node,265064208,Denner,Denner,,supermarket,,,,,46.5066342,6.6712555,Mo-Fr 08:30-19:00; Sa 08:00-17:00,,Denner
node,265776668,Coop,Coop,Coop Genossenschaft,supermarket,Zürichbergstrasse,75,8044,Zürich,47.376417,8.5595945,Mo-Fr 07:00-21:00; Sa 07:30-20:00,,Coop
node,266571580,Migros,Migros,Genossenschaft Migros Aare,supermarket,,1,5200,Brugg AG,47.4821521,8.2094058,Mo-Sa 08:00-20:00; PH off,https://filialen.migros.ch/de/migros-supermarkt-brugg-neumarkt,Migros
node,266630559,Coop,Coop,Coop Genossenschaft,supermarket,Badenerstrasse,333,8003,Zürich,47.3777162,8.5112192,Mo-Sa 07:00-22:00; PH off,https://www.coop.ch/,Coop
